species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Blarinella_griselda	442037.385	0.008	0.171653
Blarinella_quadraticauda	17727.93838	0.0125	0.114186
Blarinella_wardi	115869.7498	0.0077	0.125436
Blarinomys_breviceps	441272.8145	0.0368	0.42829
Blastocerus_dichotomus	5002785.601	86.6662	33.445043
Boromys_offella	NA	0.32	0.656565
Boromys_torrei	NA	0.12	0.381998
Bos_frontalis	NA	800	62.635365
Bos_gaurus	1384164.718	825	87.945862
Bos_grunniens	NA	416.5	47.362235
Bos_indicus	NA	NA	NA
Bos_javanicus	185527.0276	700	52.041968
Bos_mutus	471592.5085	767.5	66.975612
Bos_primigenius	NA	900	69.451227
Bos_sauveli	36236.66557	800	39.375505
Bos_taurus	NA	900	69.451227
Boselaphus_tragocamelus	2311100.682	169	40.932337
Brachiones_przewalskii	863900.1532	0.022	0.368389
Brachylagus_idahoensis	491631.0557	0.4213	9.2
Brachyphylla_cavernarum	15074.02308	0.0462	0.235435
Brachyphylla_nana	197030.7071	0.0358	0.354199
Brachytarsomys_albicauda	65434.41235	0.2	0.458792
Brachytarsomys_villosa	608.6770596	0.22	0.176128
Brachyteles_arachnoides	87063.93752	13.4999	8.70976
Brachyteles_hypoxanthus	97651.91552	8.865	4.059082
Brachyuromys_betsileoensis	43215.14232	0.0925	0.440502
Brachyuromys_ramirohitra	59051.7694	0.09	0.46386
Bradypus_pygmaeus	3.456802865	3	0.244053
Bradypus_torquatus	76307.83015	3.9	1.653993
Bradypus_tridactylus	1056569.148	3.85	4.282844
Bradypus_variegatus	9918930.839	4.335	4.241553
Brotomys_voratus	NA	0.12	0.379765
Brucepattersonius_albinasus	315.264175	0.02	0.063123
Brucepattersonius_griserufescens	12765.65816	0.027	0.166797
Brucepattersonius_guarani	1552.317538	0.032	0.116685
Brucepattersonius_igniventris	13470.11093	0.035	0.19589
Brucepattersonius_iheringi	179759.2554	0.043	0.385826
Brucepattersonius_misionensis	1529.212073	0.034	0.120432
Brucepattersonius_paradisus	1233.391446	0.042	0.129817
Brucepattersonius_soricinus	15646.57906	0.0287	0.180516
Bubalus_arnee	13824.97056	725	30.286952
Bubalus_depressicornis	108502.5437	300	29.030539
Bubalus_mindorensis	624.739266	233.3333	8.297725
Bubalus_quarlesi	70964.90183	150	18.063917
Budorcas_taxicolor	443468.1137	302	39.488716
Bullimus_bagobus	120400.9835	0.4325	1.333762
Bullimus_gamay	256.2567886	0.368	0.321963
Bullimus_luzonicus	38744.05366	0.445	1.061358
Bunolagus_monticularis	78984.57589	1.75	2.376736
Bunomys_andrewsi	118582.7763	0.125	0.651294
Bunomys_chrysocomus	171617.4047	0.116	0.675754
Bunomys_coelestis	135.2507768	0.12	0.147275
Bunomys_fratrorum	16203.11059	0.135	0.44293
Bunomys_karokophilus	NA	NA	NA
Bunomys_penitus	20717.46296	0.17	0.533251
Bunomys_prolatus	792.7903865	0.131	0.226915
Bunomys_torajae	NA	NA	NA
Burramys_parvus	1202.400195	0.0415	0.12822
Cabassous_centralis	765474.2677	3.81	10.168278
Cabassous_chacoensis	482791.9586	1.49	5.034565
Cabassous_tatouay	2563208.46	5.35	16.418548
Cabassous_unicinctus	9884372.19	4.8	20.493924
Cacajao_ayresi	6453.282709	2.2333	1.821762
Cacajao_calvus	184408.7617	5.796	6.500811
Cacajao_hosomi	70687.29546	3.1	3.68831
Cacajao_melanocephalus	NA	3.1	3.951556
Caenolestes_caniventer	19928.14695	0.04	0.230184
Caenolestes_condorensis	79.73897336	0.048	0.077595
Caenolestes_convelatus	23085.58995	0.04	0.237612
Caenolestes_fuliginosus	183356.3703	0.0278	0.301553
Caenolestes_sangay	NA	NA	NA
Calassomys_apicalis	NA	NA	NA
Calcochloris_obtusirostris	116544.2385	0.0241	0.261488
Calcochloris_tytonis	316.4093343	0.0456	0.109982
Callibella_humilis	6459.639877	NA	NA
Callicebus_aureipalatii	23431.88998	0.95	1.472413
Callicebus_baptista	14939.06778	0.9565	1.341285
Callicebus_barbarabrownae	131319.7625	1.2287	2.476732
Callicebus_bernhardi	121100.5003	0.95	2.099234
Callicebus_brunneus	246835.0412	0.9924	2.010794
Callicebus_caligatus	74467.43061	0.9924	1.938034
Callicebus_caquetensis	1379.589331	NA	NA
Callicebus_cinerascens	213101.9121	0.9924	2.431978
Callicebus_coimbrai	39069.41321	1.1817	1.864046
Callicebus_cupreus	786272.8027	0.915	3.076927
Callicebus_discolor	234672.2769	0.9177	2.373917
Callicebus_donacophilus	165691.5625	0.795	2.027656
Callicebus_dubius	124000.9726	0.9924	2.16362
Callicebus_hoffmannsi	93360.79109	0.9924	2.035004
Callicebus_lucifer	237475.4085	1.329	2.94459
Callicebus_lugens	925579.1749	1.2036	3.731239
Callicebus_medemi	15875.07466	1.2996	1.620852
Callicebus_melanochir	101029.0777	1.3224	2.441376
